	LCK	LPL	LEC	LCS	VCS	PCS	LCO	TCL	LJL	CBLOL	LLA	LCL
LCK	0.5305	0.469615385	0.281097561	0.250735294	0.108928571	0.341	0.175	0.0875	0.13125	0.13125	0.13125	0.508333333
LPL	0.604513889	0.584722222	0.469270833	0.340178571	0.315625	0.160227273	0.065625	0.13125	0.0875	0.38125	0.254166667	0.254166667
LEC	0.660069444	0.715948276	0.525	0.550833333	0.210416667	0.381	0.105	0.411363636	0.2625	0.38125	0.13125	0.503571429
LCS	0.903472222	0.663125	0.736805556	0.525	0.254166667	0.37625	0.169444444	0.38125	0.503571429	0.420833333	0.2625	0.63125
VCS	0.956818182	0.960416667	0.5328125	0.680357143	0.525	0.613888889	0.503571429	0.502272727	0.420833333	0.841666667	0.320454545	0.7625
PCS	0.805434783	0.8175	0.718478261	0.661	0.280555556	0.508333333	0.175	0.377083333	0.63125	0.503571429	0.63125	0.503571429
LCO	0.7625	0.920833333	0.705	0.947222222	0.5875	0.7625	0.525	0.932142857	0.920833333	0.705	0.505	0.503571429
TCL	0.88125	0.920833333	0.690625	0.920833333	0.608928571	0.701666667	0.360714286	0.525	0.075	0.501470588	0.305	0.4525
LJL	0.88125	0.789285714	0.508333333	0.905	0.841666667	0.505	0.754166667	0.789285714	0.525	0.627083333	0.565625	0.505
CBLOL	0.841666667	0.841666667	0.905	0.905	0.2625	0.920833333	0.701666667	0.501923077	0.503571429	0.525	0.305	0.655769231
LLA	0.88125	0.754166667	0.789285714	0.905	0.789285714	0.725	0.789285714	0.505	0.5875	0.940625	0.217857143	0.710416667
LCL	0.88125	0.905	0.905	0.502272727	0.5525	0.877083333	0.420833333	0.63125	0.13125	0.63125	0.5328125	0.525
