BLUE REGION,BLUE SEED,BLUE TEAM,BLUE SCORE,RED SCORE,RED TEAM,RED SEED,RED REGION
CH,CH,⁠Bilibili Gaming,0,1,JD Gaming,CH,CH
CH,CH,JD Gaming,1,0,⁠Bilibili Gaming,CH,CH
CH,CH,⁠Bilibili Gaming,1,0,JD Gaming,CH,CH
CH,CH,JD Gaming,1,0,⁠Bilibili Gaming,CH,CH
CH,CH,⁠Bilibili Gaming,1,0,T1,KR,KR
KR,KR,T1,1,0,⁠Bilibili Gaming,CH,CH
KR,KR,T1,0,1,⁠Bilibili Gaming,CH,CH
CH,CH,⁠Bilibili Gaming,1,0,T1,KR,KR
KR,KR,Gen.G eSports,0,1,⁠Bilibili Gaming,CH,CH
KR,KR,Gen.G eSports,0,1,⁠Bilibili Gaming,CH,CH
CH,CH,⁠Bilibili Gaming,1,0,Gen.G eSports,KR,KR
KR,KR,T1,0,1,JD Gaming,CH,CH
CH,CH,JD Gaming,1,0,T1,KR,KR
CH,CH,JD Gaming,0,1,T1,KR,KR
KR,KR,T1,1,0,JD Gaming,CH,CH
CH,CH,JD Gaming,1,0,T1,KR,KR
NA,NA,Cloud9,0,1,Gen.G eSports,KR,KR
NA,NA,Cloud9,0,1,Gen.G eSports,KR,KR
KR,KR,Gen.G eSports,1,0,Cloud9,NA,NA
EU,EU,G2 Esports,0,1,⁠Bilibili Gaming,CH,CH
EU,EU,G2 Esports,0,1,⁠Bilibili Gaming,CH,CH
EU,EU,G2 Esports,1,0,⁠Bilibili Gaming,CH,CH
EU,EU,G2 Esports,0,1,⁠Bilibili Gaming,CH,CH
NA,NA,Cloud9,1,0,⁠Golden Guardians,NA,NA
NA,NA,Cloud9,0,1,⁠Golden Guardians,NA,NA
NA,NA,Cloud9,1,0,⁠Golden Guardians,NA,NA
NA,NA,⁠Golden Guardians,0,1,Cloud9,NA,NA
CH,CH,⁠Bilibili Gaming,0,1,JD Gaming,CH,CH
CH,CH,⁠Bilibili Gaming,0,1,JD Gaming,CH,CH
CH,CH,JD Gaming,1,0,⁠Bilibili Gaming,CH,CH
EU,EU,G2 Esports,1,0,MAD Lions,EU,EU
EU,EU,G2 Esports,1,0,MAD Lions,EU,EU
EU,EU,MAD Lions,0,1,G2 Esports,EU,EU
KR,KR,T1,1,0,Gen.G eSports,KR,KR
KR,KR,Gen.G eSports,1,0,T1,KR,KR
KR,KR,T1,0,1,Gen.G eSports,KR,KR
KR,KR,Gen.G eSports,0,1,T1,KR,KR
KR,KR,Gen.G eSports,0,1,T1,KR,KR
NA,NA,⁠Golden Guardians,0,1,JD Gaming,CH,CH
NA,NA,⁠Golden Guardians,0,1,JD Gaming,CH,CH
CH,CH,JD Gaming,1,0,⁠Golden Guardians,NA,NA
CH,CH,⁠Bilibili Gaming,1,0,Cloud9,NA,NA
NA,NA,Cloud9,0,1,⁠Bilibili Gaming,CH,CH
NA,NA,Cloud9,0,1,⁠Bilibili Gaming,CH,CH
EU,EU,MAD Lions,0,1,T1,KR,KR
EU,EU,MAD Lions,0,1,T1,KR,KR
EU,EU,MAD Lions,0,1,T1,KR,KR
KR,KR,Gen.G eSports,1,0,G2 Esports,EU,EU
EU,EU,G2 Esports,1,0,Gen.G eSports,KR,KR
EU,EU,G2 Esports,0,1,Gen.G eSports,KR,KR
KR,KR,Gen.G eSports,1,0,G2 Esports,EU,EU
SA,SA,PSG Talon,0,1,⁠Golden Guardians,NA,NA
SA,SA,PSG Talon,0,1,⁠Golden Guardians,NA,NA
NA,NA,⁠Golden Guardians,1,0,PSG Talon,SA,SA
BR,BR,LOUD,0,1,PSG Talon,SA,SA
SA,SA,PSG Talon,1,0,LOUD,BR,BR
NA,NA,⁠Golden Guardians,1,0,Movistar R7,LA,LA
NA,NA,⁠Golden Guardians,1,0,Movistar R7,LA,LA
JP,JP,Detonation FocusMe,0,1,LOUD,BR,BR
BR,BR,LOUD,1,0,Detonation FocusMe,JP,JP
VT,VT,GAM Esports,0,1,Movistar R7,LA,LA
VT,VT,GAM Esports,1,0,Movistar R7,LA,LA
VT,VT,GAM Esports,0,1,Movistar R7,LA,LA
SA,SA,PSG Talon,0,1,G2 Esports,EU,EU
EU,EU,G2 Esports,1,0,PSG Talon,SA,SA
CH,CH,⁠Bilibili Gaming,1,0,⁠Golden Guardians,NA,NA
CH,CH,⁠Bilibili Gaming,0,1,⁠Golden Guardians,NA,NA
CH,CH,⁠Bilibili Gaming,1,0,⁠Golden Guardians,NA,NA
VT,VT,GAM Esports,0,1,⁠Golden Guardians,NA,NA
NA,NA,⁠Golden Guardians,1,0,GAM Esports,VT,VT
CH,CH,⁠Bilibili Gaming,1,0,Movistar R7,LA,LA
CH,CH,⁠Bilibili Gaming,1,0,Movistar R7,LA,LA
EU,EU,G2 Esports,1,0,LOUD,BR,BR
EU,EU,G2 Esports,1,0,LOUD,BR,BR
JP,JP,Detonation FocusMe,0,1,PSG Talon,SA,SA
SA,SA,PSG Talon,1,0,Detonation FocusMe,JP,JP
KR,KR2,T1,2,3,DRX,KR4,KR
KR,KR1,Gen.G eSports,1,3,DRX,KR4,KR
KR,KR2,T1,3,1,JD Gaming,CH1,CH
KR,KR4,DRX,3,2,Edward Gaming,CH3,CH
KR,KR1,Gen.G eSports,3,2,DWG KIA,KR3,KR
KR,KR2,T1,3,0,Royal Never Give Up,CH4,CH
CH,CH1,JD Gaming,3,0,Rogue,EU1,EU
KR,KR1,Gen.G eSports,1,0,Royal Never Give Up,CH4,CH
CH,CH4,Royal Never Give Up,0,1,Gen.G eSports,KR1,KR
SA,SA1,CTBC Flying Oyster,0,1,Royal Never Give Up,CH4,CH
KR,KR1,Gen.G eSports,1,0,100 Thieves,NA2,NA
CH,CH4,Royal Never Give Up,1,0,100 Thieves,NA2,NA
SA,SA1,CTBC Flying Oyster,0,1,Gen.G eSports,KR1,KR
NA,NA2,100 Thieves,1,0,CTBC Flying Oyster,SA1,SA
KR,KR4,DRX,1,0,Rogue,EU1,EU
CH,CH2,Top Esports,1,0,DRX,KR4,KR
CH,CH2,Top Esports,1,0,Rogue,EU1,EU
KR,KR4,DRX,1,0,GAM Esports,VT1,VT
KR,KR4,DRX,1,0,Rogue,EU1,EU
VT,VT1,GAM Esports,1,0,Top Esports,CH2,CH
EU,EU1,Rogue,1,0,GAM Esports,VT1,VT
CH,CH1,JD Gaming,1,0,DWG KIA,KR3,KR
CH,CH1,JD Gaming,0,1,DWG KIA,KR3,KR
NA,NA3,Evil Geniuses,0,1,DWG KIA,KR3,KR
EU,EU2,G2 Esports,0,1,JD Gaming,CH1,CH
